SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,011999,期末现金,297607768.16
00131.HK,00131,卓能(集团),10007411,2023-06-30 00:00:00,001,6-30,2022-07-01 00:00:00,013999,非运算项目,595215536.32
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001001,除税前溢利(业务利润),48955351.55
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001002,减:利息收入,29381762.83
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001003,加:利息支出,13472663.26
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001004,减:投资收益,813285.69
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001007,减:重估盈余,78436316.42
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001009,加:折旧及摊销,2987178.67
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001010,减:汇兑收益,-24401991.46
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,001999,营运资金变动前经营溢利,-18814180.0
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,002002,应收帐款减少,2505706.7
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,002005,应付关联方款项增加(减少),-401084.11
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,002006,营运资本变动其他项目,-10210113.41
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,002008,预收账款、按金及其他应付款增加(减少),-956957.61
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,002999,经营产生现金,-27876628.43
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,003002,已付利息(经营),6747449.1
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,003003,已付税项,1345118943.91
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,003999,经营业务现金净额,-1379743021.44
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005001,已收利息(投资),30264318.91
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005002,已收股息(投资),1402511.6
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005003,存款减少(增加),522521.09
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005005,购建固定资产,630275.03
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005007,购建无形资产及其他资产,10985770.74
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005010,收回投资所得现金,1994303.08
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,005999,投资业务现金净额,22567608.91
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,006999,融资前现金净额,-1357175412.53
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007001,新增借款,27678224.35
00131.HK,00131,卓能(集团),10007411,2022-06-30 00:00:00,001,6-30,2021-07-01 00:00:00,007003,已付利息(融资),6423332.09
